nr,titel,artiest,jaar
701,Somebody to love,Jefferson Airplane,1967
702,Eltse grins foarby,De Kast,1997
703,Je loog tegen mij,Drukwerk,1981
704,Only love can break your heart,Neil Young,1970
705,Waarom fluister ik je naam nog,Benny Neyman,1985
706,Lady d'Arbanville,Cat Stevens,1970
707,Woman,John Lennon,1981
708,Can you feel the love tonight,Elton John,1995
709,100 Years,Joey Dyser,1975
710,Rhiannon,Fleetwood Mac,1976
711,I wish,Stevie Wonder,1977
712,Ain't nobody,Chaka Khan & Rufus,1984
713,I started a joke,Bee Gees,1969
714,Johnny B. Goode,Chuck Berry,1958
715,Ich bin wie du,Marianne Rosenberg,1976
716,People are people,Depeche Mode,1984
717,Spinning wheel,"Blood, Sweat & Tears",1969
718,All I have to do is dream,Everly Brothers,1958
719,Another day,Buckshot Lefonque,1997
720,Bourree,Jethro Tull,1969
721,Strangers in the night,Frank Sinatra,1966
722,Waterloo sunset,Kinks,1967
723,Ma Baker,Boney M,1977
724,Alles wat ademt,Rob de Nijs,1985
725,The Free Electric Band,Albert Hammond,1973
726,Here there and everywhere,Beatles,1966
727,Luka,Suzanne Vega,1987
728,Rikki don't loose that number,Steely Dan,1974
729,Fame,Irene Cara,1983
730,Can you feel it,Jacksons,1981
731,Lambada,Kaoma,1989
732,The ballad of Lucy Jordan,Marianne Faithfull,1979
733,Bestel mar,Rowwen Heze,1992
734,The weight,The Band,1968
735,Time after time,Cyndi Lauper,1984
736,The power of love,Jennifer Rush,1985
737,Leaving on a jetplane,John Denver,1972
738,We can work it out,Beatles,1965
739,Vrede,Ruth Jacott,1993
740,My sweet Lord,George Harrison,1970
741,Donna,10CC,1973
742,Without you,Nilsson,1972
743,Als de dag van toen,Reinhard Mey,1975
744,Never be clever,Herman Brood & his Wild Romance,1979
745,Ain’t got no - I got life,Nina Simone,1968
746,The look of love,ABC,1982
747,The first time ever I saw your face,Roberta Flack,1972
748,Where do you go to my lovely,Peter Sarstedt,1969
749,Sledgehammer,Peter Gabriel,1986
750,The name of the game,ABBA,1977
751,Boulevard de la Madeleine,Moody Blues,1966
752,24 rozen,Toon Hermans,1966
753,Someone,Axis,1972
754,The devil went down to Georgia,Charlie Daniels Band,1979
755,A salty dog,Procol Harum,1969
756,Promise me,Beverly Craven,1990
757,Sorry seems to be the hardest word,Elton John,1976
758,Substitute,Who,1966
759,Blue hotel,Chris Isaak,1987
760,Just like a woman,Bob Dylan,1966
761,Mercedes Benz,Janis Joplin,1971
762,"He ain't heavy,he's my brother",Hollies,1969
763,Twist in my sobriety,Tanita Tikaram,1988
764,Nergens goed voor,De Dijk,1989
765,Midnight rambler,Rolling Stones,1969
766,A brand new day,Wiz Stars,1979
767,Three steps to heaven,Eddie Cochran,1960
768,Just another day,Jon Secada,1992
769,I'll have to say I love you in a song,Jim Croce,1975
770,Right here waiting,Richard Marx,1989
771,You're the inspiration,Chicago,1985
772,Road to nowhere,Talking Heads,1985
773,What a fool believes,Doobie Brothers,1986
774,Yellow submarine,Beatles,1966
775,Elephant song,Kamahl,1975
776,Cecilia,Simon & Garfunkel,1966
777,I feel love,Donna Summer,1977
778,Mexico,Zangeres Zonder Naam,1969
779,On the road again,Canned Heat,1968
780,Hello Mary Lou,Ricky Nelson,1961
781,Een kopje koffie,VOF De Kunst,1987
782,Cold as ice,Foreigner,1977
783,Mama,Spice Girls,1997
784,Only you,Flying Picketts,1984
785,Pa,Doe Maar,1983
786,Let it be me,Everly Brothers,1960
787,Can't stand losing you,Police,1979
788,Fly like an eagle,Steve Miller Band,1976
789,I'll be there,Mariah Carey,1992
790,Leven na de dood,Freek de Jonge & Stips,1997
791,New kid in town,Eagles,1977
792,Sweet Caroline,Neil Diamond,1969
793,Birmingham,Randy Newman,1974
794,Fire,Pointer Sisters,1979
795,I finally found someone,Barbra Streisand & B. Adams,1997
796,Laat me,Ramses Shaffy,1978
797,Lonely days,Bee Gees,1970
798,Un canto a Galicia,Julio Iglesias,1972
799,Dynamite,Mud,1974
800,Celebration,Kool & the Gang,1980
801,Can't buy me love,Beatles,1964
802,Hair,Zen,1969
803,Summer in the city,Lovin' Spoonful,1966
804,What's a woman,Vaya Con Dios,1990
805,Orchard road,Leo Sayer,1983
806,Sammy,Ramses Shaffy,1966
807,Bye bye love,Everly Brothers,1957
808,Cent mille chansons,Frida Boccara,1969
809,Theme from ‘Mahogony’,Diana Ross,1976
810,Late again,Stealers Wheel,1973
811,You can leave your hat on,Joe Cocker,1986
812,Zoek jezelf,Koot & Bie,1975
813,It's a man's man's world,James Brown,1966
814,It's only love,Bryan Adams & Tina Turner,1985
815,"O, o, Den Haag",Harry Klorkestein,1982
816,Butterfly kisses,Bob Carlisle,1997
817,It's over,Level 42,1987
818,Nutbush city limits,Ike & Tina Turner,1974
819,Ramblin' man,Allman Brothers Band,1973
820,Winter in America,Dough Ashdown,1978
821,You are not alone,Michael Jackson,1995
822,You got it,Roy Orbison,1989
823,Black pearl,Margriet Eshuis Band,1982
824,Real mother for ya,Johnny Guitar Watson,1977
825,Suicide is painless,MASH,1970
826,Universal soldier,Donovan,1965
827,One day I'll fly away,Randy Crawford,1980
828,Sound and vision,David Bowie,1977
829,Down town,Petula Clark,1964
830,Only a fool,Byron Lee & Mighty Sparrow,1969
831,Only the lonely,Roy Orbison,1960
832,All out of love,Air Supply,1980
833,In dulci Jubilo,Mike Oldfield,1976
834,I should have known better,Beatles,1964
835,Great balls of fire,Jerry Lee Lewis,1957
836,50 Ways to leave your lover,Paul Simon,1976
837,Bring it on home to me,Animals,1965
838,That 'ole devil called love,Alison Moyet,1985
839,Because the night,Patti Smith,1978
840,Holiday,Madonna,1984
841,She was naked,Supersister,1970
842,Mijn gebed,DC Lewis,1970
843,Power to all our friends,Cliff Richard,1973
844,Brandend zand,Anneke Grönloh,1962
845,Le freak,Chic,1978
846,Stiekem gedanst,Toontje Lager,1983
847,Take it easy,Eagles,1972
848,Ebony eyes,Everly Brothers,1961
849,Cracklin' Rosie,Neil Diamond,1970
850,I know him so well,Elaine Paige & Barbara Dickson,1985
851,Lady Madonna,Beatles,1968
852,Davy's on the road again,Manfred Mann's Earth Band,1978
853,Give peace a chance,John Lennon & Plastic Ono Band,1969
854,Lemon tree,Fool's Garden,1996
855,Time is tight,Booker T & the MG's,1969
856,Back for good,Take That,1995
857,He'll have to go,Jim Reeves,1960
858,Lay lady lay,Bob Dylan,1969
859,Milord,Edith Piaf,1960
860,September morn',Neil Diamond,1979
861,You really got me,Kinks,1964
862,Ik doe wat ik doe,Astrid Nijgh,1973
863,Emma,Hot Chocolate,1974
864,Ain't no sunshine,Bill Withers,1971
865,Toveren,Herman van Veen,1987
866,I'm every woman,Chaka Khan,1979
867,Me and mrs. Jones,Billy Paul,1973
868,Tous les garçons et les filles,Françoise Hardy,1963
869,Up where we belong,Joe Cocker & Jennifer Warnes,1982
870,You took the words right out of my mouth,Meat Loaf,1979
871,Homburg,Procol Harum,1967
872,I wanna dance with somebody,Whitney Houston,1987
873,Il est cinq heures Paris s’éveille,Jacques Dutronc,1968
874,Mainstreet,Bob Seger &  the Silver Bullet Band,1977
875,The worker,Fischer Z,1979
876,Open einde,Rob de Nijs,1987
877,Itchycoo Park,Small Faces,1967
878,Wild thing,Troggs,1966
879,Lay down,Melanie & Edwin Hawkins Singers,1969
880,Samen zijn,Willeke Alberti,1987
881,Against the wind,Bob Seger &  the Silver Bullet Band,1980
882,Crazy on you,Heart,1977
883,One more night,Phil Collins,1985
884,Coz' I luv you,Slade,1971
885,Days,Kinks,1968
886,Bachelor boy,Cliff Richard,1963
887,How come how long,Stevie Wonder & Babyface,1997
888,Wonderful world,Sam Cooke,1960
889,The 5th,Ekseption,1969
890,Ebony & ivory,Paul McCartney & Stevie Wonder,1982
891,Everybody wants to rule the world,Tears for Fears,1985
892,I close my eyes (and count to ten),Dusty Springfield,1968
893,We were all wounded at Wounded Knee,Redbone,1973
894,At seventeen,Janis Ian,1974
895,You ain't seen nothing yet,Bachman Turner Overdrive,1974
896,Dance the night away,Mavericks,1998
897,Let it grow,Eric Clapton,1974
898,Room to move,John Mayall,1970
899,We belong to the night,Ellen Foley,1979
900,Go now,Moody Blues,1965
901,(I don't wanna die in an) Air disaster,Albert Hammond,1974
902,Que sera sera (whatever will be will be),Doris Day,1956
903,The way we were,Barbra Streisand,1986
904,Don't let me be misunderstood,Santa Esmeralda,1977
905,I've never been to me,Charlene,1982
906,Love me just a little bit more,Dolly Dots,1983
907,La vie en rose,Grace Jones,1977
908,My baby just cares for me,Nina Simone,1987
909,Sailing,Christopher Cross,1981
910,Ti sento,Matia Bazar,1986
911,Glad all over,Dave Clark Five,1964
912,Sunshine of your love,Cream,1968
913,After midnight,JJ Cale,1972
914,Duet,Brigitte Kaandorp & Herman Finkers,1990
915,I'm still standing,Elton John,1983
916,Kom van dat dak af,Peter & zijn Rockets,1960
917,Little man,Sonny & Cher,1966
918,I'm a believer,Monkees,1966
919,Hilton Barcelona,Stef Bos,1994
920,The best of me,Cliff Richard,1989
921,This strange effect,Dave Berry,1965
922,Copacabana,Barry Manilow,1978
923,I got you babe,UB 40 & Chrissie Hynde,1985
924,Long train running,Doobie Brothers,1973
925,Don't go,Yazoo,1982
926,Heaven is a place on earth,Belinda Carlisle,1988
927,Anything for you,Gloria Estefan & Miami Sound Machine,1989
928,Don't you want me,Human League,1982
929,On the beach,Chris Rea,1986
930,Airport song,Magna Carta,1970
931,Don't go breaking my heart,Elton John & Kiki Dee,1976
932,Homeward bound,Simon & Garfunkel,1966
933,Je t'aime moi non plus,Serge Gainsbourg & Jane Birkin,1969
934,Titles,Barclay James Harvest,1976
935,Big big world,Emilia,1998
936,Buona sera,Louis Prima,1958
937,Twee motten,Dorus,1957
938,The letter,Boxtops,1967
939,Crazy horses,Osmonds,1972
940,Lovin' you,Minnie Ripperton,1975
941,Shout,Trammps,1975
942,Tequila sunrise,Eagles,1973
943,Lucky lips,Cliff Richard,1963
944,The longest time,Billy Joel,1984
945,Across the universe,Beatles,1970
946,Teardrops,Womack & Womack,1988
947,You are the sunshine of my life,Stevie Wonder,1973
948,Girls just want to have fun,Cyndi Lauper,1984
949,Carry on,Crosby Stills Nash & Young,1970
950,Cathy's clown,Everly Brothers,1960
951,Dedicated follower of fashion,Kinks,1966
952,Do you remember,Long Tall Ernie & the Shakers,1977
953,Lonely boy,Andrew Gold,1977
954,People gotta move,Gino Vannelli,1974
955,All of my heart,ABC,1982
956,Another day,Paul McCartney,1971
957,Let's twist again,Chubby Checker,1962
958,Stop,Sam Brown,1988
959,Jealous guy,Roxy Music,1981
960,La solitudine,Laura Pausini,1993
961,When I die,No Mercy,1997
962,Heart of stone,Rolling Stones,1965
963,Anak,Freddie Aquilar,1978
964,I want to hold your hand,Beatles,1964
965,Iedereen is van de wereld,Scene,1991
966,Rebel rebel,David Bowie,1974
967,Show me the way,Peter Frampton,1976
968,Sir Duke,Stevie Wonder,1977
969,Liefdesliedjes,Jazzpolitie,1993
970,Summertime blues,Blue Cheer,1968
971,Walking in Memphis,Marc Cohn,1991
972,Air,Ekseption,1969
973,Opzij,Herman van Veen,1979
974,You and me,Spargo,1980
975,I treni di tozeur,Alice & Battiato,1984
976,Rock your baby,George McCrae,1974
977,Voir un ami pleurer,Jacques Brel,1961
978,Daydream,Wallace Collection,1969
979,Somewhere over the rainbow,Judy Garland,1939
980,Island in the sun,Harry Belafonte,1957
981,Water of love,Dire Straits,1978
982,When I need you,Leo Sayer,1977
983,Huilen is voor jou te laat,Corry & de Rekels,1970
984,Lili Marlene,Marlene Dietrich,1946
985,Can't help falling in love,UB 40,1993
986,When the rain begins to fall,Jermaine Jackson & Pia Zadora,1984
987,Blinded by the light,Manfred Mann's Earth Band,1976
988,He'll have to go,Ry Cooder,1976
989,Oh Lori,Alessi Brothers,1977
990,Afternoon delight,Starland Vocal Band,1976
991,Only you,Platters,1955
992,Theme from 'Deer Hunter',Shadows,1979
993,We gotta get out of this place,Animals,1965
994,You should be dancing,Bee Gees,1976
995,Marianne,Cats,1969
996,Some kind of wonderful,Grand Funk Railroad,1975
997,The old fashioned way,Charles Aznavour,1973
998,TRUE,Spandau Ballet,1983
999,Walk like an Egyptian,Bangles,1987
1000,Zondagmiddag Buitenveldert,Frans Halsema,1969
1001,Don't be cruel,Elvis Presley,1956
1002,Good years for the roses,Elvis Costello,1981
1003,I don't believe in if anymore,Roger Whittaker,1970
1004,I'm a train,Albert Hammond,1974
1005,Let's stick together,Bryan Ferry,1976
1006,The legend of Xanadu,Dave Dee Dozy Beaky Mick & Tich,1968
1007,Tuesday afternoon,Moody Blues,1967
1008,You were my friend,Chi Coltrane,1973
1009,All or nothing,Small Faces,1966
1010,Diana,Paul Anka,1957
1011,My friend the wind,Demis Roussos,1973
1012,If I had a hammer,Trini Lopez,1963
1013,That'll be the day,Buddy Holly,1957
1014,I hope I never,Split Enz,1981
1015,Willempie,André van Duin,1976
1016,All night long,Lionel Richie,1983
1017,Happy together,Turtles,1967
1018,A good heart,Feargal Sharkey,1985
1019,High,Lighthouse Family,1998
1020,Reach out I'll be there,Four Tops,1966
1021,I want you,Bob Dylan,1966
1022,Sympathy,Steve Rowland & Family Dogg,1970
1023,Into the groove,Madonna,1985
1024,This town ain't big enough for the two of us,Sparks,1974
1025,All my loving,Beatles,1964
1026,Cocaine,JJ Cale,1972
1027,Endless love,Diana Ross & Lionel Richie,1981
1028,Everybody's talking,Nilsson,1969
1029,I love you because,Jim Reeves,1964
1030,Sunny afternoon,Kinks,1966
1031,As tears go by,Marianne Faithfull,1964
1032,Gute nacht Freunde,Reinhard Mey,1974
1033,How am I supposed to live without you,Michael Bolton,1990
1034,Just the way you are,Billy Joel,1978
1035,Kiss you all over,Exile,1978
1036,No regrets,Walker Brothers,1976
1037,Ritme van de regen,Rob de Nijs,1963
1038,Poppa Joe,Sweet,1972
1039,Wild places,Duncan Browne,1979
1040,Maybe tomorrow maybe tonight,Earth & Fire,1973
1041,All by myself,Eric Carmen,1976
1042,Do you really want to hurt me,Culture Club,1982
1043,Waiting for a girl like you,Foreigner,1982
1044,Blue bayou,Linda Ronstadt,1977
1045,Come back and stay,Paul Young,1983
1046,I've got you under my skin,Frank Sinatra,1966
1047,One night in Bangkok,Murray Head,1985
1048,Sag mir wo die Blumen sind,Marlene Dietrich,1963
1049,Marieke,Jacques Brel,1961
1050,Suddenly,Billy Ocean,1985
1051,Right next door,Robert Cray Band,1987
1052,Spanish eyes,Al Martino,1966
1053,Hello Josephine,Scorpions,1965
1054,Release me,Engelbert Humperdinck,1967
1055,When I fall in love,Nat King Cole,1957
1056,Dancing with tears in my eyes,Ultravox,1984
1057,Alane,Wes,1997
1058,Follow me,Amanda Lear,1978
1059,La bamba,Ritchie Valens,1964
1060,Why,Cats,1969
1061,I’d rather go blind,Chicken Shack,1969
1062,Karma Chameleon,Culture Club,1983
1063,View to a kill,Duran Duran,1985
1064,Zeven dagen lang,Bots,1976
1065,All around my hat,Steeleye Span,1976
1066,Forever man,Eric Clapton,1985
1067,Op een mooie Pinksterdag,Leen Jongewaard & Andre van den Heuvel,1967
1068,Popmuzik,M,1979
1069,She goes nana,Radio's,1993
1070,Spiegelbeeld,Willeke Alberti,1963
1071,Bright side of the road,Van Morrison,1979
1072,Conquistador,Procol Harum,1972
1073,I lie and I cheat,Won Ton Ton,1988
1074,Lazy sunday,Small Faces,1968
1075,One day in your life,Michael Jackson,1981
1076,Quiereme mucho,Julio Iglesias,1979
1077,Skandal im Sperrbezirk,Spider Murphy Gang,1982
1078,Theme from 'A star is born',Barbra Streisand,1977
1079,Can't take my eyes of you,Boy’s Town Gang,1982
1080,Funkin' for Jamaica,Tom Browne,1981
1081,Lily was here,Candy Dulfer & Dave Stewart,1989
1082,Midnight train to Georgia,Gladys Knight & the Pips,1973
1083,Don't know much,Linda Ronstadt & Aaron Neville,1989
1084,Casser la voix,Patrick Bruel,1990
1085,Georgia on my mind,Ray Charles,1960
1086,I can hear music,Beach Boys,1969
1087,Live is life,Opus,1985
1088,Fever,Peggy Lee,1959
1089,Love letters in the sand,Pat Boone,1957
1090,Yesterday when I was young,Charles Aznavour,1970
1091,Arms of Mary,Sutherland Brothers & Quiver,1971
1092,Cosi celeste,Zucchero,1996
1093,Nah Neh Nah,Vaya Con Dios,1990
1094,'t Is weer voorbij die mooie zomer,Gerard Cox,1973
1095,(Walk me out in the) Morning dew,Long John Baldry,1981
1096,Sacramento,Middle of the Road,1972
1097,Danse de Zorba,Trio Hellenique,1965
1098,Don't wanna lose you,Gloria Estefan,1989
1099,Hit me with your rhythm stick,Ian Dury & the Blockheads,1978
1100,I scare myself,Thomas Dolby,1984
1101,24 hours from Tulsa,Gene Pitney,1964
1102,Darling be home soon,Lovin' Spoonful,1967
1103,Dream a little dream,Mama Cass,1968
1104,For what it's worth,Buffalo Springfield,1967
1105,I am a rock,Simon & Garfunkel,1966
1106,Because I love you,Buddy Holly,1956
1107,All day and all of the night,Kinks,1964
1108,"If I said you had a beautiful body,....",Bellamy Brothers,1979
1109,Se bastasse una canzone,Eros Ramazzotti,1990
1110,Spirit in the sky,Norman Greenbaum,1970
1111,Window of hope,Oleta Adams,1993
1112,La mama,Charles Aznavour,1963
1113,Sealed with a kiss,Bobby Vinton,1972
1114,Ticket to ride,Beatles,1965
1115,Touch,Outsiders,1966
1116,Starlight dancer,Kayak,1977
1117,The last 7 days,Unit Gloria,1969
1118,You are,Dolly Parton,1983
1119,The eyes of Jenny,Sandy Coast,1981
1120,Then I kissed her,Beach Boys,1967
1121,Ik ben blij dat ik je niet vergeten ben,Joost Nuissl,1975
1122,Mr. Bojangles,Nitty Gritty Dirt Band,1971
1123,What's another year,Johnny Logan,1980
1124,Ain’t no mountain high enough,Supremes,1970
1125,Ferry 'cross the Mersey,Gerry & the Pacemakers,1964
1126,How long,Ace,1974
1127,La ballade des gens heureux,Gerard Lenorman,1976
1128,Crazy,Patsy Cline,1960
1129,Distant drums,Jim Reeves,1966
1130,I won't stand between them,Bonnie St. Claire,1970
1131,How'bout us,Champaign,1981
1132,It's over,Roy Orbison,1964
1133,Are you ready,Pacific Gas & Electric,1970
1134,Reflections,Supremes,1967
1135,You don't have to say you love me,Dusty Springfield,1966
1136,Ring of fire,Johnny Cash,1963
1137,The things we do for love,10CC,1976
1138,You made me so very happy,"Blood, Sweat & Tears",1969
1139,Reflections of my life,Marmalade,1970
1140,Something's gotta hold of my heart,Gene Pitney,1976
1141,Monica,Circus Custers,1987
1142,Sail along silvery moon,Billy Vaughn Orchestra,1958
1143,Smooth operator,Sade,1984
1144,This melody,Julien Clerc,1976
1145,Yes sir I can boogie,Baccara,1977
1146,Wonderful land,Shadows,1962
1147,Never let her slip away,Andrew Gold,1978
1148,Beep beep love,Gruppo Sportivo,1988
1149,Hot shot,Karen Young,1978
1150,Easy,Commodores,1978
1151,Een wonderkind van 50,Boudewijn de Groot,1998
1152,It's five o'clock,Aphrodite's Child,1970
1153,Busje komt zo,Hollenboer,1995
1154,If I had words,Scott Fitzgerald & Yvonne Keely,1977
1155,Il silenzio,Nini Rosso,1965
1156,Chanson d'amour,Manhattan Transfer,1976
1157,Demasiado corazon,Mink Deville,1984
1158,Disco inferno,Trammps,1977
1159,How can I be sure,David Cassidy,1972
1160,Een vriend,André Hazes,1980
1161,Feels like heaven,Fiction Factory,1984
1162,Heel even,Shirley Zwerus,1981
1163,Does your mother know,ABBA,1979
1164,Ik zou wel eens willen weten...,Jules de Corte,1955
1165,Caravan of love,Housemartins,1987
1166,I don't wanna talk about it,Rod Stewart,1977
1167,Love shine a light,Katrina & the Waves,1997
1168,Pick up the pieces,Average White Band,1975
1169,Secret garden,Bruce Springsteen,1997
1170,Soul man,Sam & Dave,1967
1171,Kon ik maar even bij je zijn,Gordon,1991
1172,Lovin’ whiskey,Rory Block,1988
1173,Nightshift,Commodores,1985
1174,Oyo como va,Santana,1971
1175,Sailing home,Piet Veerman,1987
1176,Verdammt ich lieb' dich,Matthias Reim,1990
1177,"You're my heart, you're my soul",Modern Talking,1985
1178,Reason to believe,Rod Stewart,1971
1179,Silence is golden,Tremeloes,1967
1180,Summer is over,Dusty Springfield,1964
1181,That day,Golden Earrings,1966
1182,True love,Grace Kelly & Bing Crosby,1957
1183,Veerpont,Drs. P,1973
1184,Wheels,Billy Vaughn Orchestra,1961
1185,Always on my mind,Willy Nelson,1984
1186,You're a lady,Peter Skellern,1972
1187,Oh Carol,Neil Sedaka,1960
1188,Unforgettable,Nat King Cole,1951
1189,Mother,John Lennon,1971
1190,Keep on running,Spencer Davis Group,1966
1191,Ob la di ob la da,Beatles,1969
1192,I shot the sherriff,Eric Clapton,1974
1193,Eight days a week,Beatles,1965
1194,Fly too high,Janis Ian,1979
1195,Friday on my mind,Easybeats,1966
1196,Marrakesh Express,Crosby Stills & Nash,1969
1197,Russian spy and I,Hunters,1966
1198,Baby makes her blue jeans talk,Dr. Hook & the Medicine Show,1982
1199,Best of both worlds,Robert Palmer,1978
1200,Big City,Tol Hansse,1978
1201,Had to fall in love,Moody Blues,1978
1202,Hey St. Peter,Flash & the Pan,1977
1203,Margootje,Wim Sonneveld,1965
1204,Manic Monday,Bangles,1986
1205,I'm sorry,Brenda Lee,1960
1206,Islands in the stream,Dolly Parton & Kenny Rogers,1983
1207,It's my life,Animals,1965
1208,Love of the common people,Paul Young,1984
1209,Junge komm bald wieder,Freddy,1963
1210,"Never, never gonna give you up",Barry White,1974
1211,Paperback writer,Beatles,1966
1212,Fooled around and fell in love,Elvin Bishop,1976
1213,I just don't know what to do with myself,Dusty Springfield,1964
1214,Let's dance,Cats,1972
1215,James,Billy Joel,1976
1216,Daddy cool,Boney M,1976
1217,Matrimony,Gilbert O'Sullivan,1972
1218,Stop in the name of love,Supremes,1965
1219,Wake up little Susie,Everly Brothers,1958
1220,When the going gets though,Billy Ocean,1986
1221,Soldiers who want to be heroes,Rod McKuen,1971
1222,Stand by your man,Tammy Wynette,1975
1223,That's the way (I like it),KC & the Sunshine Band,1975
1224,The sweetest taboo,Sade,1985
1225,W.O.L.D (the morning dj),Harry Chapin,1974
1226,When will I see you again,Three Degrees,1974
1227,When you are a king,White Plains,1971
1228,Zuiderzeeballade,Sylvain Poons,1962
1229,Tie a yellow ribbon round the ole oak tree,Dawn,1973
1230,Wooly bully,Sam the Sham & Pharaoh's,1965
1231,Shangrila,Kinks,1969
1232,Shine silently,Nils Lofgren,1979
1233,Tu te reconnaitras,Anne Marie David,1973
1234,You can't hurry love,Supremes,1966
1235,Save the last dance for me,Drifters,1961
1236,Sunny,Boney M,1977
1237,Seasons,Earth & Fire,1970
1238,While you see a chance,Steve Winwood,1981
1239,I feel fine,Beatles,1965
1240,Ha ha said the clown,Manfred Mann,1967
1241,Ik heb genoeg van jou,ZZ & de Maskers,1965
1242,Last dance,Donna Summer,1978
1243,L'été Indien,Joe Dassin,1975
1244,Listen to the radio,Tom Robinson,1984
1245,Ein bisschen Friede,Nicole,1982
1246,Forever blue,Little River Band,1995
1247,French song,Lucille Starr,1965
1248,Great pretender,Platters,1957
1249,La mer,Charles Trenet,1952
1250,Love and pride,King,1985
1251,Death of a clown,Dave Davies,1967
1252,I just died in your arms tonight,Cutting Crew,1975
1253,Donna,Ritchie Valens,1964
1254,Here comes the night,Them,1965
1255,Running in the family,Level 42,1987
1256,Streetlife,Crusaders,1979
1257,Mozart Symphony nr 40,Orchestra Waldo de los Rios,1971
1258,New frontier,Donald Fagen,1983
1259,Play that funky music,Wild Cherry,1976
1260,Roll over Beethoven,Electric Light Orchestra,1973
1261,Spanish stroll,Mink Deville,1977
1262,Tell me your plans,Shirts,1978
1263,Without your love,Roger Daltrey,1981
1264,The girl is mine,Michael Jackson & Paul McCartney,1982
1265,"Poupée de cire, poupée de son",France Gall,1965
1266,Reeling in the years,Steely Dan,1973
1267,The alternative way,Anita Meyer,1976
1268,Raindrops keep falling on my head,BJ Thomas,1970
1269,What I like about you,Romantics,1980
1270,Centerfold,J Geils Band,1982
1271,Hold on my heart,Genesis,1992
1272,Abracadabra,Steve Miller Band,1982
1273,Addicted to love,Robert Palmer,1986
1274,Kyrie,Mr Mister,1986
1275,Capital punishment,Sandy Coast,1969
1276,Down south,Rob Hoeke,1970
1277,Everybody's got to learn sometime,Korgis,1980
1278,Gente di mare,Tozzi Raf,1987
1279,House of the king,Focus,1971
1280,Hurt,Timmy Yuro,1981
1281,Le meteque,Georges Moustaki,1969
1282,Circle in the sand,Belinda Carlisle,1988
1283,The joker,Steve Miller Band,1973
1284,Pearl's a singer,Elkie Brooks,1977
1285,Sam,Olivia Newton John,1977
1286,Sylvia,Focus,1972
1287,Volare,Al Martino,1976
1288,Pictures of Lily,Who,1967
1289,Save the best for last,Vanessa Williams,1992
1290,Wasted words,Motions,1965
1291,Show me heaven,Maria McKee,1990
1292,The ballad of John and Yoko,Beatles,1969
1293,London town,Paul McCartney & Wings,1978
1294,Time of the season,Zombies,1969
1295,Manuela,Jacques Herb,1971
1296,"Marmor, Stein und Eisen bricht",Drafi Deutscher,1965
1297,Ma préference,Julien Clerc,1978
1298,True story,Twice as Much,1966
1299,Spanish Harlem,Aretha Franklin,1971
1300,An Englishman in New York,Godley & Creme,1980
1301,Dolce Vita,Ryan Paris,1983
1302,Hold me now,Johnny Logan,1987
1303,Alone again (naturally),Gilbert O'Sullivan,1972
1304,Guus,Alexander Curly,1975
1305,Gigi l'amoroso,Dalida,1974
1306,Don’t wanna say goodbye,Raspberries,1972
1307,Fraction too much friction,Tim Finn,1984
1308,More than I can bear,Matt Bianco,1985
1309,Xanadu,Olivia Newton-John & ELO,1980
1310,You're in my heart,Rod Stewart,1977
1311,L'important c'est la rose,Gilbert Becaud,1967
1312,Por un poco de tu amor,Julio Iglesias,1979
1313,Stars on 45,Stars on 45,1981
1314,Those were the days,Mary Hopkin,1968
1315,Let your love flow,Bellamy Brothers,1976
1316,Pappie loop toch niet zo snel,Herman van Keeken,1971
1317,You to me are everything,Real Thing,1976
1318,Walking on sunshine,Katrina & the Waves,1985
1319,"Please, please me",Beatles,1963
1320,I go to sleep,Pretenders,1981
1321,Sugar baby love,Rubettes,1974
1322,Theme from 'Love story',Andy Williams,1971
1323,I will return,Springwater,1971
1324,Lonely boy,Paul Anka,1959
1325,A thing called love,Johnny Cash,1972
1326,For your eyes only,Sheena Easton,1981
1327,Hello Dolly,Louis Armstrong,1964
1328,I like Chopin,Gazebo,1983
1329,Excerpt from A Teenage Opera,Keith West,1967
1330,Gimme some lovin',Spencer Davis Group,1966
1331,I honestly love you,Olivia Newton John,1974
1332,All kinds of everything,Dana,1970
1333,Hard to be tender,Carly Simon,1989
1334,Kiss and say goodbye,Manhattans,1976
1335,Ding a dong,Teach In,1975
1336,American woman,Guess Who,1970
1337,Born to be alive,Patrick Hernandez,1979
1338,Buddy Joe,Golden Earring,1972
1339,Get it on,T.Rex,1971
1340,If you could read my mind,Gordon Lightfoot,1971
1341,Help me make it through the night,Gladys Knight & the Pips,1972
1342,Brass in pocket,Pretenders,1980
1343,Samen een straatje om,Rudi Carrell,1976
1344,Silly love songs,Paul McCartney & Wings,1976
1345,With you I am born again,Billy Preston & Syreeta,1980
1346,Lost in music,Sister Sledge,1979
1347,Meisjes met rode haren,Arne Jansen & Les Cigales,1972
1348,Petite fleur,Chris Barber's Jazz Band,1959
1349,December 1963 (Oh what a night),Four Seasons,1976
1350,The most beautiful girl,Charlie Rich,1974
1351,Lido Shuffle,Boz Scaggs,1977
1352,Many rivers to cross,Joe Cocker,1982
1353,No milk today,Herman’s Hermits,1966
1354,Singing in the rain,Gene Kelly,1952
1355,Stuck in the middle with you,Stealers Wheel,1973
1356,We love you,Rolling Stones,1967
1357,Little bird,Tielman Brothers,1967
