nr,titel,artiest,jaar
165,The boxer,Simon & Garfunkel,1969
166,Jimmy,Boudewijn de Groot,1974
167,Roll over lay down,Status Quo,1975
168,Fool on the hill,Beatles,1967
169,Like a rollin' stone,Bob Dylan,1965
170,Walk of life,Dire Straits,1985
171,Don't give up,Kate Bush & Peter Gabriel,1986
172,Graceland,Paul Simon,1986
173,Billie Jean,Michael Jackson,1983
174,Eagle,ABBA,1978
175,Horse with no name,America,1972
176,Last resort,Eagles,1976
177,Voor haar,Frans Halsema,1977
178,Wereld zonder jou,Marco Borsato & Trijntje Oosterhuis,1997
179,Killer queen,Queen,1974
180,You,Ten Sharp,1991
181,Jump,Van Halen,1984
182,Lady in red,Chris DeBurgh,1986
183,What a wonderful world,Louis Armstrong,1968
184,Maid of Orleans,O.M.D.,1982
185,Me and Bobby McGee,Janis Joplin,1971
186,Unchained melody,Righteous Brothers,1965
187,"Take me home, country roads",John Denver,1971
188,She's not there,Santana,1978
189,Liefs uit Londen,Blof,1998
190,1999,Prince,1982
191,Oude Maasweg,Amazing Stroopwafels,1982
192,Denis,Blondie,1978
193,Desperado,Eagles,1973
194,Need your love so bad,Fleetwood Mac,1968
195,Perfect day,Lou Reed,1972
196,Private dancer,Tina Turner,1984
197,Geen kind meer,Karin Bloemen,1996
198,You can't always get what you want,Rolling Stones,1969
199,Russians,Sting,1985
200,Smoke on the water,Deep Purple,1973
201,Gimme all your loving,ZZ Top,1984
202,Sloop John B,Beach Boys,1966
203,Morning has broken,Cat Stevens,1972
204,Als ze er niet is,De Dijk,1994
205,Albatross,Fleetwood Mac,1969
206,Mull of Kyntyre,Wings,1977
207,Moonlight shadow,Mike Oldfield & Maggie Reilly,1983
208,Give up your guns,Buoys,1972
209,Whole lotta love,Led Zeppelin,1969
210,Love hurts,Nazareth,1974
211,My generation,Who,1965
212,Think,Aretha Franklin,1968
213,All you need is love,Beatles,1967
214,Massachusetts,Bee Gees,1967
215,More than a feeling,Boston,1977
216,Layla,Derek & the Dominoes,1971
217,Zeg me dat het niet zo is,Frank Boeijen,1990
218,White Christmas,Bing Crosby,1942
219,Vincent,Don McLean,1972
220,Like a prayer,Madonna,1989
221,Radio ga ga,Queen,1984
222,Wind of change,Scorpions,1991
223,Born to run,Bruce Springsteen,1974
224,One way wind,Cats,1971
225,Through the barricades,Spandau Ballet,1986
226,Have I told you lately,Van Morrison,1989
227,Musica e,Eros Ramazzotti,1989
228,Help,Beatles,1965
229,Down under,Men at Work,1982
230,Window of my eyes,Cuby & the Blizzards,1968
231,Sara,Fleetwood Mac,1980
232,Vriendschap,Goede Doel,1983
233,Vluchten kan niet meer,Jenny Arean & Frans Halsema,1977
234,99 Luftballons,Nena,1983
235,"See me, feel me",Who,1970
236,Eleanor Rigby,Beatles,1966
237,De bom,Doe Maar,1982
238,She's always a woman,Billy Joel,1978
239,Rock around the clock,Bill Haley & his Comets,1956
240,The dock of the bay,Otis Redding,1968
241,Our house,Crosby Stills Nash & Young,1970
